sku,product_name,name_en,barcode,category,category_en,type,group,world,brand,room,material,diameter_inch,diameter_dn,diameter_mm,length_mm,angle,connection,gender,color,pressure_bar,max_temp_c,capacity,price,description,image_file,image_url,gallery_files,gallery_urls,image_count,page_url
,אטם מעבר מאספסט לפלסטיק,,,,,אטם,,,Huliot,,פלסטיק,,,,,,,,,,,,,,_.jpg,https://www.huliot.co.il/wp-content/uploads/2016/05/Polypropylene_Tubes_Enlarge.jpg,_.jpg|__1.jpg|__2.jpg,https://www.huliot.co.il/wp-content/uploads/2016/05/Polypropylene_Tubes_Enlarge.jpg|https://www.huliot.co.il/wp-content/uploads/2016/08/Sheka-Teka-1200X179.jpg|https://www.huliot.co.il/wp-content/uploads/2016/12/huliot_green.jpg,3,http://www.huliot.co.il:80/product/%D7%90%D7%98%D7%9D-%D7%9E%D7%A2%D7%91%D7%A8-%D7%9E%D7%90%D7%A1%D7%A4%D7%A1%D7%98-%D7%9C%D7%A4%D7%9C%D7%A1%D7%98%D7%99%D7%A7/
,ברך צד אחד חלק 40/90,,,,,ברך,,,Huliot,,,,,,,,,,,,,,,,_4090.jpg,http://www.huliot.co.il/wp-content/uploads/2015/07/category-banner-ultra-silent-1080x169.jpg,_4090.jpg,http://www.huliot.co.il/wp-content/uploads/2015/07/category-banner-ultra-silent-1080x169.jpg|http://www.huliot.co.il/wp-content/uploads/2016/05/Tavrig_Pipe_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2017/03/Branch_Thread_2_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2017/03/Branch_Thread_30N_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2017/03/Branch_Thread_45N_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2017/03/Branch_Thread_90N_Enlarge.jpg,6,http://www.huliot.co.il:80/product/%D7%91%D7%A8%D7%9A-%D7%A6%D7%93-%D7%90%D7%97%D7%93-%D7%97%D7%9C%D7%A7-4090/
,ברך 45° 40/40,,,,,ברך,,,Huliot,,,,,,,45°,,,,,,,,,_45_4040.jpg,http://www.huliot.co.il/wp-content/uploads/2015/07/category-banner-ultra-silent-1080x169.jpg,_45_4040.jpg,http://www.huliot.co.il/wp-content/uploads/2015/07/category-banner-ultra-silent-1080x169.jpg|http://www.huliot.co.il/wp-content/uploads/2016/05/Tavrig_Pipe_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2017/03/Branch_Thread_2_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2017/03/Branch_Thread_45N_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2017/03/Branch_Thread_90N_Enlarge.jpg,5,http://www.huliot.co.il:80/product/%D7%91%D7%A8%D7%9A-45-4040/
,מחסום רצפה למקלחת 50/140 (סגור),,,,,מחסום,,,Huliot,,,,,,,,,,,,,,,,_50140_.jpg,http://www.huliot.co.il/wp-content/uploads/2015/07/category-banner-ultra-silent-1080x169.jpg,_50140_.jpg,http://www.huliot.co.il/wp-content/uploads/2015/07/category-banner-ultra-silent-1080x169.jpg|http://www.huliot.co.il/wp-content/uploads/2016/05/Tavrig_Pipe_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2017/03/Block_40_140_Close_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2017/03/Branch_Thread_2_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2017/03/Branch_Thread_45N_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2017/03/Branch_Thread_90N_Enlarge.jpg,6,http://www.huliot.co.il:80/product/%D7%9E%D7%97%D7%A1%D7%95%D7%9D-%D7%A8%D7%A6%D7%A4%D7%94-%D7%9C%D7%9E%D7%A7%D7%9C%D7%97%D7%AA-50140-%D7%A1%D7%92%D7%95%D7%A8/
,מחסום רצפה 50/140 שחור,,,,,מחסום,,,Huliot,,,,,,,,,,שחור,,,,,,_50140_.jpg,http://www.huliot.co.il/wp-content/uploads/2016/12/Bend_45_Enlarge.jpg,_50140_.jpg,http://www.huliot.co.il/wp-content/uploads/2016/12/Bend_45_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2016/12/Floor_Block_50_140_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2016/12/Pipe_HDPE_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2016/12/Poliblack_Branches_45_Enlarge.jpg,4,http://www.huliot.co.il:80/product/%D7%9E%D7%97%D7%A1%D7%95%D7%9D-%D7%A8%D7%A6%D7%A4%D7%94-50140-%D7%A9%D7%97%D7%95%D7%A8/
,מחסום תופי 50/140,,,,,מחסום,,,Huliot,,,,,,,,,,,,,,,,_50140.jpg,http://www.huliot.co.il/wp-content/uploads/2015/07/category-banner-ultra-silent-1080x169.jpg,_50140.jpg,http://www.huliot.co.il/wp-content/uploads/2015/07/category-banner-ultra-silent-1080x169.jpg|http://www.huliot.co.il/wp-content/uploads/2016/05/Tavrig_Pipe_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2017/03/Block_Topi_50_140_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2017/03/Branch_Thread_15N_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2017/03/Branch_Thread_2_Enlarge.jpg,5,http://www.huliot.co.il:80/product/%D7%9E%D7%97%D7%A1%D7%95%D7%9D-%D7%AA%D7%95%D7%A4%D7%99-50140/
,מצרה צד אחד חלק 60/50,,,,,,,,Huliot,,,,,,,,,,,,,,,,_6050.jpg,http://www.huliot.co.il/wp-content/uploads/2015/07/category-banner-ultra-silent-1080x169.jpg,_6050.jpg,http://www.huliot.co.il/wp-content/uploads/2015/07/category-banner-ultra-silent-1080x169.jpg|http://www.huliot.co.il/wp-content/uploads/2016/05/Tavrig_Pipe_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2017/03/Branch_Thread_15N_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2017/03/Branch_Thread_2_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2017/03/Reducer_1_Enlarge.jpg,5,http://www.huliot.co.il:80/product/%D7%9E%D7%A6%D7%A8%D7%94-%D7%A6%D7%93-%D7%90%D7%97%D7%93-%D7%97%D7%9C%D7%A7-6050
,פקק לביוב 160,,,,,פקק,,ביוב,Huliot,,,,,,,,,,,,,,,,_160.jpg,http://www.huliot.co.il/wp-content/uploads/2015/07/category-banner-ultra-silent-1080x169.jpg,_160.jpg|_160_1.jpg|_160_2.jpg,http://www.huliot.co.il/wp-content/uploads/2015/07/category-banner-ultra-silent-1080x169.jpg|http://www.huliot.co.il/wp-content/uploads/2016/11/End_Caps_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2016/11/Sewage_Pipes_Enlarge.jpg,3,http://www.huliot.co.il:80/product/%D7%A4%D7%A7%D7%A7-%D7%9C%D7%91%D7%99%D7%95%D7%91-160/
,פקק לביוב 200,,,,,פקק,,ביוב,Huliot,,,,,,,,,,,,,,,,_200.jpg,http://www.huliot.co.il/wp-content/uploads/2015/07/category-banner-ultra-silent-1080x169.jpg,_200.jpg|_200_1.jpg|_200_2.jpg,http://www.huliot.co.il/wp-content/uploads/2015/07/category-banner-ultra-silent-1080x169.jpg|http://www.huliot.co.il/wp-content/uploads/2016/11/End_Caps_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2016/11/Sewage_Pipes_Enlarge.jpg,3,http://www.huliot.co.il:80/product/%D7%A4%D7%A7%D7%A7-%D7%9C%D7%91%D7%99%D7%95%D7%91-200/
,פקק לביוב 250,,,,,פקק,,ביוב,Huliot,,,,,,,,,,,,,,,,_250.jpg,http://www.huliot.co.il/wp-content/uploads/2015/07/category-banner-ultra-silent-1080x169.jpg,_250.jpg|_250_1.jpg|_250_2.jpg,http://www.huliot.co.il/wp-content/uploads/2015/07/category-banner-ultra-silent-1080x169.jpg|http://www.huliot.co.il/wp-content/uploads/2016/11/End_Caps_Enlarge.jpg|http://www.huliot.co.il/wp-content/uploads/2016/11/Sewage_Pipes_Enlarge.jpg,3,http://www.huliot.co.il:80/product/%D7%A4%D7%A7%D7%A7-%D7%9C%D7%91%D7%99%D7%95%D7%91-250/
