"מק""ט",שם המוצר,קטגוריה,מותג,צבע,כמות באריזה,כמות במשטח,מידות,שם באנגלית,קטגוריה באנגלית,אימוג'י,תמונה,תמונות נוספות,תמונת מפרט,תמונות מפרט
10361315,"צינור גן Ø1/2"" 15 מ'",ציוד גן,AQUATEC,,,,"מידה: Ø1/2"" | אורך: 15 מ' | תיאור: צינור גן","Garden Hose Ø1/2"" 15m",Garden Equipment,🌿,10361315.jpg,,,
10361320,"צינור גן Ø1/2"" 20 מ'",ציוד גן,AQUATEC,,,,"מידה: Ø1/2"" | אורך: 20 מ' | תיאור: צינור גן","Garden Hose Ø1/2"" 20m",Garden Equipment,🌿,10361315.jpg,,,
10361325,"צינור גן Ø1/2"" 25 מ'",ציוד גן,AQUATEC,,,,"מידה: Ø1/2"" | אורך: 25 מ' | תיאור: צינור גן","Garden Hose Ø1/2"" 25m",Garden Equipment,🌿,10361315.jpg,,,
10361330,"צינור גן Ø1/2"" 30 מ'",ציוד גן,AQUATEC,,,,"מידה: Ø1/2"" | אורך: 30 מ' | תיאור: צינור גן","Garden Hose Ø1/2"" 30m",Garden Equipment,🌿,10361315.jpg,,,
10361350,"צינור גן Ø1/2"" 50 מ'",ציוד גן,AQUATEC,,,,"מידה: Ø1/2"" | אורך: 50 מ' | תיאור: צינור גן","Garden Hose Ø1/2"" 50m",Garden Equipment,🌿,10361315.jpg,,,
10361425,"צינור גן Ø3/4"" 25 מ'",ציוד גן,AQUATEC,,,,"מידה: Ø3/4"" | אורך: 25 מ' | תיאור: צינור גן","Garden Hose Ø3/4"" 25m",Garden Equipment,🌿,10361315.jpg,,,
10361426,"צינור גן Ø3/4"" 50 מ'",ציוד גן,AQUATEC,,,,"מידה: Ø3/4"" | אורך: 50 מ' | תיאור: צינור גן","Garden Hose Ø3/4"" 50m",Garden Equipment,🌿,10361315.jpg,,,
10411001,טרפלקס צינור שקוף 13/10 — 50 מ׳,צינורות גמישים,AQUATEC,,,,אורך: 50 מ' | תיאור: טרפלקס רשפיים צינור שקוף 10/13,Truflex Clear Pipe 10/13mm 50m,Flexible Pipes,🌀,10411001.jpg,,,
10411003,טרפלקס צינור שקוף 13/10 — 25 מ׳,צינורות גמישים,AQUATEC,,,,אורך: 25 מ' | תיאור: טרפלקס רשפיים צינור שקוף 10/13,Truflex Clear Pipe 10/13mm 25m,Flexible Pipes,🌀,10411001.jpg,,,
1053232,טרפלקס צינור ג׳קוזי לבן Ø32,צינורות גמישים,AQUATEC,,,,"מידה: 32 מ""מ Ø | תיאור: טרפלקס רשפיים צינור ג'קוזי לבן",Truflex White Jacuzzi Pipe Ø32mm,Flexible Pipes,🌀,1053232.jpg,,,
1054040,טרפלקס צינור ג׳קוזי לבן Ø40,צינורות גמישים,AQUATEC,,,,"מידה: 40 מ""מ Ø | תיאור: טרפלקס רשפיים צינור ג'קוזי לבן",Truflex White Jacuzzi Pipe Ø40mm,Flexible Pipes,🌀,1053232.jpg,,,
