sku,product_name,type,features,series,application,connection,thread,gender,material,color,sizes_raw,diameter_mm,diameter2_mm,diameter3_mm,angle_deg,inch,length_mm,wall_mm,sdr,sn_class,leftover,image_file,image_count,page_url
,אטם מעבר מאספסט לפלסטיק,אטם,מעבר,,,,,,פלסטיק,,,,,,,,,,,,מאספסט ל,_.jpg,3,http://www.huliot.co.il:80/product/%D7%90%D7%98%D7%9D-%D7%9E%D7%A2%D7%91%D7%A8-%D7%9E%D7%90%D7%A1%D7%A4%D7%A1%D7%98-%D7%9C%D7%A4%D7%9C%D7%A1%D7%98%D7%99%D7%A7/
,ברך צד אחד חלק 40/90,ברך,צד אחד חלק,,,,,,,,40/90,40,,,90,,,,,,,_4090.jpg,6,http://www.huliot.co.il:80/product/%D7%91%D7%A8%D7%9A-%D7%A6%D7%93-%D7%90%D7%97%D7%93-%D7%97%D7%9C%D7%A7-4090/
,ברך 45° 40/40,ברך,,,,,,,,,40/40,40,40,,45,,,,,,,_45_4040.jpg,5,http://www.huliot.co.il:80/product/%D7%91%D7%A8%D7%9A-45-4040/
,מחסום רצפה למקלחת 50/140 (סגור),מחסום,סגור,,מקלחת,,,,,,50/140,50,140,,,,,,,,רצפה,_50140_.jpg,6,http://www.huliot.co.il:80/product/%D7%9E%D7%97%D7%A1%D7%95%D7%9D-%D7%A8%D7%A6%D7%A4%D7%94-%D7%9C%D7%9E%D7%A7%D7%9C%D7%97%D7%AA-50140-%D7%A1%D7%92%D7%95%D7%A8/
,מחסום רצפה 50/140 שחור,מחסום,,,רצפה,,,,,שחור,50/140,50,140,,,,,,,,,_50140_.jpg,4,http://www.huliot.co.il:80/product/%D7%9E%D7%97%D7%A1%D7%95%D7%9D-%D7%A8%D7%A6%D7%A4%D7%94-50140-%D7%A9%D7%97%D7%95%D7%A8/
,מחסום תופי 50/140,מחסום,תופי,,,,,,,,50/140,50,140,,,,,,,,,_50140.jpg,5,http://www.huliot.co.il:80/product/%D7%9E%D7%97%D7%A1%D7%95%D7%9D-%D7%AA%D7%95%D7%A4%D7%99-50140/
,מצרה צד אחד חלק 60/50,מצרה,צד אחד חלק,,,,,,,,60/50,60,50,,,,,,,,,_6050.jpg,5,http://www.huliot.co.il:80/product/%D7%9E%D7%A6%D7%A8%D7%94-%D7%A6%D7%93-%D7%90%D7%97%D7%93-%D7%97%D7%9C%D7%A7-6050
,פקק לביוב 160,פקק,,,ביוב,,,,,,160,160,,,,,,,,,,_160.jpg,3,http://www.huliot.co.il:80/product/%D7%A4%D7%A7%D7%A7-%D7%9C%D7%91%D7%99%D7%95%D7%91-160/
,פקק לביוב 200,פקק,,,ביוב,,,,,,200,200,,,,,,,,,,_200.jpg,3,http://www.huliot.co.il:80/product/%D7%A4%D7%A7%D7%A7-%D7%9C%D7%91%D7%99%D7%95%D7%91-200/
,פקק לביוב 250,פקק,,,ביוב,,,,,,250,250,,,,,,,,,,_250.jpg,3,http://www.huliot.co.il:80/product/%D7%A4%D7%A7%D7%A7-%D7%9C%D7%91%D7%99%D7%95%D7%91-250/
,פקק לביוב 315,פקק,,,ביוב,,,,,,315,315,,,,,,,,,,_315.jpg,3,http://www.huliot.co.il:80/product/%D7%A4%D7%A7%D7%A7-%D7%9C%D7%91%D7%99%D7%95%D7%91-315/
